frase;localizzazione;tempo;grave;moto;utenti_deboli
incidente in strada varana, in località castell'aicardi, san secondo parmense;1;0;0;0;0
intorno alle 13, per cause ancora in corso d'accertamento, un camion si è ribaltato e il suo conducente è stato trasportato al pronto soccorso di fidenza in condizioni gravi;0;1;1;0;0
la polizia locale è intervenuta sul posto per chiarire la dinamica;0;0;0;0;0
i primi soccorsi sono arrivati dagli uomini del 118;0;0;1;0;0
grave incidente a baganzola di parma nel primo pomeriggio;1;0;1;0;0
intorno alle 15:10, per cause ancora in corso d'accertamento, un furgone e un'auto si sono scontrati in tangenziale;0;1;0;0;0
un impatto violento che ha provocato l'uscita di strada del furgone, precipitato in un secondo momento in un viadotto a ridosso della strada ;0;0;1;0;0
i soccorritori del 118 hanno ritrovato il mezzo nel cortile di un'azienda;0;0;0;0;0
l'autista, soccorso da un'ambulanza, ha riportato ferite di media gravità ed è stato trasportato al pronto soccorso di parma ;0;0;1;0;0
nell'impatto sarebbe rimasto ferito anche il conducente dell'auto;0;0;1;0;0
non si conoscono ancora le sue condizioni;0;0;0;0;0
nella mattinata di oggi, domenica 26 febbraio, si è verificato un incidente stradale che ha coinvolto anche un'ambulanza ma che non ha provocato, fortunatamente, feriti gravi;0;1;0;0;0
l'episodio si è verificato in viale milazzo a parma verso le ore 7 ;1;1;0;0;0
la dinamica è in corso di ricostruzione da parte della polizia locale il mezzo, impegnato in un servizio di trasporto, si è scontrato con un'auto che stava percorrendo la stessa via;0;0;0;0;0
il bilancio è di un ferito lieve, che è stato comunque trasportato al pronto soccorso dell'ospedale maggiorefac per accertamenti ;0;0;0;0;0
le sue condizioni di salute non destano preoccupazione;0;0;0;0;0
grave incidente stradale all'alba di oggi, domenica 26 febbraio a san polo di torrile;1;1;1;0;0
per cause in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che è andato a sbattere contro il guardrail;0;0;0;0;0
in conseguenza dell'impatto l'auto è rimasta danneggiata ed il conducente ha riportato ferite di una certa gravità in varie parti del corpo;0;0;1;0;0
sul posto, oltre agli operatori del 118, anche le forze dell'ordine per i rilievi previsti per legge ;0;0;0;0;0
secondo le prime informazioni l'incidente non avrebbe coinvolto altri veicoli;0;0;0;0;0
 le condizioni di salute del ferito sarebbero gravi ma non si troverebbe in pericolo di vita ;0;0;1;0;0
si è schiantato contro un'auto che si trovava in sosta lungo via fleming;1;0;0;0;0
il conducente di un'auto è stato coinvolto in un incidente stradale nella tarda serata di giovedì 23 febbraio;0;1;0;0;0
erano da poco passate le ore 2230 quando, per cause in corso di accertamento, il conducente del veicolo ha perso il controllo del mezzo ed è finito contro un'auto parcheggiata;0;1;0;0;0
sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure all'uomo per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
secondo le prime informazioni avrebbe riportato ferite gravi ma non sarebbe in pericolo di vita;0;0;1;0;0
grave incidente stradale alle ore 23 di giovedì 23 febbraio lungo l'autostrada a1;1;1;1;0;0
per cause in corso di accertamento due auto e due tir si sono scontrati mentre stavano percorrendo la corsia in direzione nord;1;0;0;0;0
lo scontro è stato particolarmente violento ed è avvenuto all'altezza del chilometro 116 in direzione milano, tra i caselli di parma e di terre di canossa/campegine ;1;0;1;0;0
secondo le prime informazioni due persone sarebbero rimaste ferite ed avrebbero riportato traumi di una certa gravità in varie parti del corpo;0;0;1;0;0
sul posto le ambulanze del 118 e i vigili del fuoco e le pattuglie della polizia stradale;0;0;0;0;0
 il tratto autostradale è stato chiuso e poi riaperto alle 430 di stamattina;0;0;0;0;0
grave incidente stradale nella mattinata di mercoledì 22 febbraio lungo l'autostrada a1 tra parma e fidenza, nei pressi del bivio per l'autostrada a15;1;1;1;0;0
per causa in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che si è ribaltato;0;0;0;0;0
sul posto sono arrivati i soccorritori del 118 e la polizia stradale;0;0;0;0;0
il conducente è stato trasportato al pronto soccorso dell'ospedale maggiore di parma in condizioni di media gravità;0;0;1;0;0
secondo le prime informazioni non sarebbero rimasti coinvolti altri veicoli;0;0;0;0;0
l'incidente è avvenuto lungo la corsia in direzione milano;1;0;0;0;0
momenti di paura nella mattinata di mercoledì 22 febbraio a fidenza per lo scontro, avvenuto verso le ore 620, tra un'auto e una bicicletta;1;1;0;0;1
nelle prime ore della mattinata infatti i due mezzi sono venuti a contatti in via caduti di cefalonia;1;1;0;0;0
l'allarme è scattato da subito e sul posto l'ambulanza infermieristica di fidenza, che ha trasportato il ferito al pronto soccorso dell'ospedale di vaio di fidenza;0;0;1;0;0
secondo le prime informazioni le condizioni del ferito sarebbero gravi ma non si troverebbe in pericolo di vita;0;0;1;0;0
sul posto anche le forze dell'ordine, che hanno effettuato i rilievi previsti per legge e gestito il traffico in zona;0;0;0;0;0
È morto il ciclista investito sabato mattina a monticelli terme da un'auto;1;0;1;0;1
la vittima è il ciclomotore 85enne domenico vernamonte;0;0;1;1;0
l'uomo, che si trovava a bordo della sua bicicletta quando, in corrispondenza di una rotonda, è stato centrato dal veicolo, è deceduto poco dopo il ricovero d'urgenza nel reparto di rianimazione dell'ospedale maggiore di parma;0;0;1;0;1
grave incidente stradale nel primo pomeriggio di domenica 19 febbraio lungo strada argini, all'altezza di basilicanova;1;1;1;0;0
per cause in corso di accertamento due auto si sono scontrate: l'impatto è stato violento e i due mezzi sono stati danneggiati nella parte anteriore;0;0;1;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, che hanno prestato le prime cure ad uno dei conducenti, per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
secondo le prime informazioni le sue condizioni di salute sarebbero gravi ma non si troverebbe in pericolo di vita ;0;0;1;0;0
paura nella serata di venerdì 17 febbraio a borghetto di noceto;1;1;0;0;0
per cause in corso di accertamento un'auto, un'alfa romeo stelvio, si è schiantata contro il cancello di un'abitazione mentre stava percorrendo strada santa margherita;1;0;1;0;0
erano da poco passate le 2230 quando il conducente ha perso il controllo del veicolo, che è andato a finire contro il cancello, colpendo anche un muretto e un palo;0;1;0;0;0
paura lungo via montanara, nella zona di gaione, nella mattinata di giovedì 16 febbraio;1;1;0;0;0
per cause in corso di accertamento tre auto si sono scontrate in corrispondenza dell'incrocio con via ferioli;1;0;0;0;0
l'impatto tra i veicoli è stato particolarmente violento: due persone sono rimaste ferite;0;0;1;0;0
sul posto i soccorritori del 118, oltre alla polizia locale che ha effettuato i rilievi previsti per legge;0;0;0;0;0
secondo le prime informazioni i due feriti avrebbero riportato ferite gravi, una delle due in particolare si troverebbe in condizioni serie;0;0;1;0;0
i conducenti di due auto sono stati trasportati al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
sono in corso accertamenti medici per quanto riguarda le loro condizioni di salute;0;0;0;0;0
grave incidente nella mattinata di martedì 14 febbraio lungo via europa, nella zona di moletolo;1;1;1;0;0
per cause in corso di accertamento una renault captur si è ribaltata ed è finita fuori strada;0;0;0;0;0
erano da poco passate le ore 815 quando il conducente ha perso il controllo del mezzo, che si è poi capovolto;0;1;0;0;0
a bordo dell'auto c'era anche un passeggero;0;0;0;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, oltre alla polizia stradale;0;0;0;0;0
il conducente e il passeggero sono stati medicati sul posto dai sanitari del 118 e poi trasportati al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
secondo le prime informazioni le loro condizioni di salute sarebbero gravi ma non si troverebbero, entrambi, in pericolo di vita;0;0;1;0;0
dopo l'incidente si sono verificati alcuni rallentamenti lungo via europa;0;0;0;0;0
gli agenti della stradale, oltre ad effettuare i rilievi per ricostruire la dinamica dell'incidente, hanno anche gestito il traffico in zona;0;0;0;0;0
il sinistro non avrebbe coinvolto altri veicoli;0;0;0;0;0
grave incidente stradale nella mattinata di giovedì 9 febbraio in località basilicagoiano, frazione del comune di montechiarugolo;1;1;1;0;0
secondo le prime informazioni verso le ore 740 un'auto, che stava percorrendo la strada provinciale, è finita fuori strada;0;1;0;0;0
il conducente ha riportato gravi ferite in seguito all'impatto;0;0;1;0;0
momenti di paura nella mattinata di giovedì 9 febbraio in via fratelli rosselli a collecchio;1;1;0;0;0
erano da poco passate le ore 8 quando, per cause in corso di accertamento, un pedone è stato investito da un'auto mentre stava attraversando la strada;0;1;1;0;1
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, oltre alla polizia locale;0;0;0;0;0
il pedone è stato trasportato d'urgenza al pronto soccorso dell'ospedale maggiore di parma;0;0;1;0;1
sul posto anche la polizia locale per i rilievi previsti per legge;0;0;0;0;0
secondo le prime informazioni le sue condizioni di salute sarebbero di media gravità;0;0;1;0;0
un incidente stradale, che si è verificato nel pomeriggio di mercoledì 8 febbraio lungo l'autostrada a1 ed ha coinvolto un'auto e un camion, sta provocando 10 chilometri di coda in direzione bologna, a partire dal chilometro 115, tra i caselli di parma e di terre di canossa/campegine;1;1;0;0;0
secondo le prime informazioni nell'incidente, che si è verificato tra parma e il tratto reggiano, sarebbero rimaste coinvolte cinque persone, che sarebbero rimaste ferite;1;0;1;0;0
paura nelle prime ore della mattinata di venerdì 3 febbraio a san secondo;1;1;0;0;0
per cause in corso di accertamento un pedone, che si trovava in via cesare battisti, è stato investito da un'auto, che sopraggiungeva proprio in quel momento;1;0;0;0;1
l'impatto tra il veicolo e il pedone è stato violento e sul posto sono arrivati i soccorritori del 118, oltre alla polizia locale;0;0;1;0;1
secondo le prime informazioni la persona ferita avrebbe riportato traumi di media gravità: dopo le prime cure sul posto sarebbe stato trasportato al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
migliorano le condizioni di salute del bambino di 10 anni investito  da un'auto nel pomeriggio del 31 dicembre a barbiano di felino;1;1;0;0;1
sessanta giorni di prognosi per le fratture che ha riportato in varie parti del corpo;0;0;1;0;0
È questo il bollettino medico del bambino - che compirà dieci anni a fine mese - ricoverato da ieri pomeriggio al pronto soccorso dell'ospedale maggiore di parma dopo lo scontro tra la sua bicicletta e un'auto;0;0;0;0;1
paura vicino a barbiano, frazione di felino: un bambino di dieci anni si trova ricoverato in gravi condizioni nell'area codici rossi dell'ospedale maggiore di parma dopo essere stato travolto da un'auto mentre si trovava in sella alla sua bicicletta;1;0;1;0;1
ancora da stabilire la dinamica dell'incidente avvenuto oggi pomeriggio, 31 gennaio, intorno alle 17;0;1;0;0;0
grave incidente stradale poco dopo le ore 7 di martedì 31 gennaio lungo viale partigiani d'italia a parma;1;1;1;0;0
per cause in corso di accertamento un'auto si è ribaltata;0;0;0;0;0
il conducente è rimasto incastrato all'interno dell'abitacolo;0;0;0;0;0
grave incidente stradale nel tardo pomeriggio di lunedì 30 gennaio lungo viale mentana a parma;1;1;1;0;0
per cause in corso di accertamento un'auto e uno scooter sono venuti a contatto mentre stavano percorrendo la strada;0;0;0;1;0
ad avere la peggio il conducente dello scooter che è caduto rovinosamente sull'asfalto, provocandosi ferite in varie parti del corpo;0;0;0;1;0
sul posto i soccorritori del 118 che hanno prestato le prime cure all'uomo di origine straniera per poi trasportarlo a sirene spiegate al pronto soccorso dell'ospedale maggiore di parma;0;0;1;0;0
secondo le prime informazioni le sue condizioni di salute sarebbero gravi;0;0;1;0;0
sul posto anche la polizia locale per i rilievi previsti per legge;0;0;0;0;0
e' stata disposta una perizia psichiatrica nei confronti del 30enne orjol lame, conducente dell'auto che il 30 ottobre si è schiantata contro un'abitazione lungo la via emilia, tra parma e reggio emilia, provocando la morte di quattro persone, la moglie 22enne, il figlio di un anno e 4 mesi e il fratello e la sorella minori della moglie, di 11 e 9 anni;1;1;1;0;0
il conducente era positivo alla droga e all'alcool al momento dell'incidente;0;0;0;0;0
code di 2 chilometri in aumento in direzione bologna e traffico in tilt -  anche lungo le tangenziale e nei pressi della rotonda di fianco al casello di parma - in seguito ad un incidente stradale che si è verificato lungo l'autostrada a1, tra parma e terre di canossa, nelle prime ore della mattinata di giovedì 26 gennaio;1;1;0;0;0
lo scontro tra due auto non ha provocato feriti gravi ma la viabilità ne ha risentito: lungo il tratto interessato sono segnalati due chilometri di coda;0;0;0;0;0
traffico in tilt anche nei pressi della rotonda di accesso al casello di parma;0;0;0;0;0
la coda è in entrembe le direzioni in ingresso e in uscita;0;0;0;0;0
l'incidente è avvenuto al chilometro 111: sono in corso le operazioni di recupero dei mezzi coinvolti;1;0;0;0;0
grave incidente stradale nella mattinata di mercoledì 25 gennaio lungo via baganzola a parma, in corrispondenza della rotonda per le fiere;1;1;1;0;0
per cause in corso di accertamento tre veicoli - un'auto, un camion e un furgone - si sono scontrati;0;0;0;0;0
alle 1530 di oggi, martedì 24 gennaio, si registrano disagi al traffico lungo la via emilia;1;1;0;0;0
un incidente infatti si è verificato tra alseno e fidenza, all'altezza di rossetti market;1;0;0;0;0
nei pressi del distributore di benzina si sono scontrate tra di loro tre auto;0;0;0;0;0
stando alle prime informazioni solo una persona sarebbe rimasta ferita in modo lieve e ha necessitato delle cure del 118 (pubblica di corte e automedica della cri di fidenza): a bordo dell'ambulanza è stata trasportata in ospedale a fidenza;0;0;0;0;0
gli altri occupanti delle auto, messe in sicurezza dai vigili del fuoco di fiorenzuola, sarebbero usciti da soli dagli abitacoli e non avrebbero riportato conseguenze;0;0;0;0;0
sul posto anche i carabinieri per gli accertamenti;0;0;0;0;0
il traffico sta subendo rallentamenti sia in direzione fidenza, sia in direzione piacenza;0;0;0;0;0
pauroso frontale nella tarda mattinata di lunedì 23 gennaio a fidenza tra un'auto e un tir che stavano percorrendo la strada provinciale per soragna;1;1;0;0;0
grave incidente stradale nella tarda mattinata di lunedì 23 gennaio a tizzano, lungo la provinciale val parma;1;1;1;0;0
erano da poco passate le 1240 quando, per cause in corso di accertamento, un furgone è precipitato in una scarpata mentre stava percorrendo la strada provinciale all'altezza della località capoponte in direzione reno di tizzano;1;1;1;0;0
momenti di paura nella mattinata di lunedì 23 gennaio lungo via resga, nel comune di montechiarugolo;1;1;0;0;0
per cause in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo ed è finito nel canale al lato della strada;0;0;0;0;0
uomo è rimasto incastrato all'interno dell'abitacolo, nel canale pieno d'acqua;0;0;0;0;0
l'allarme è scattato da subito e in pochi minuti sono arrivati sul posto i vigili del fuoco, partiti dalla caserma di via chiavari con una squadra;0;0;0;0;0
nella serata di sabato 21 gennaio il conducente di un'auto è rimasto ferito in seguito ad un incidente stradale in località faviano di sotto, nel comune di lesignano bagni;1;1;1;0;0
l'uomo, un 43enne residente in provincia di parma, è uscito di strada mentre guidava la propria automobile, cadendo in una scarpata per circa quindici metri;0;0;0;0;0
sul posto è stato richiesto l'intervento del soccorso alpino dell'appennino parmense;0;0;0;0;0
il conducente di un autoarticolato ha cercato di svoltare, mentre stava percorrendo via partigiani d’italia - all'incrocio di via fontanella, tra colorno e mezzani - ma visto che il mezzo era più grande della carreggiata, non c'è riuscito ed il rimorchio è finito nel canale, bloccando la strada e la circolazione dei veicoli;1;0;0;0;0
lo segnala il sindaco di sorbolo nicola cesari con un post su facebook;0;0;0;0;0
grave incidente stradale alle ore 1220 di giovedì 19 gennaio lungo strada lodesana a fidenza;1;1;1;0;0
per cause in corso di accertamento due auto si sono scontrate violentemente;0;0;1;0;0
in conseguenza dello scontro due persone - marito e moglie anziani - sono rimasti feriti con contusioni di media gravità;0;0;0;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori dell'ambulanza infermieristica di fidenza, i vigili del fuoco e la polizia locale;0;0;0;0;0
gli agenti della polizia locale hanno rintracciato l’automobilista che sul ponte del fiume taro, ha danneggiato un’infrastruttura della sede stradale della ss 357 di fornovo;1;0;0;0;0
l'automobilista ha provocato un incidente e si è allontanato, ma è stato rintracciato dalla polizia locale che l’ha sanzionato;0;0;0;0;0
si tratta di un 30enne residente in provincia di parma che sul ponte del fiume taro dopo aver abbattuto un muro di delimitazione della ss357, a seguito della fuoriuscita di strada si è allontanato nella notte;1;0;0;0;0
grave incidente stradale nelle prime ore della mattinata di martedì 17 gennaio;1;1;1;0;0
per cause in corso di accertamento un'auto e una bicicletta si sono scontrate all'altezza di via goberti a fidenza;1;0;0;0;1
secondo le prime informazioni il ciclista sarebbe caduto dalla bici sull'asfalto, procurandosi alcune ferite;0;0;0;0;1
sul posto i soccorritori del 118 e la polizia locale, che ha effettuato i rilievi previsti per legge;0;0;0;0;0
il ferito, che ha riportato traumi in varie parti del corpo, è stato trasportato all'ospedale di vaio di fidenza;0;0;1;0;0
le sue condizioni sarebbero di media gravità e non si troverebbe in pericolo di vita;0;0;0;0;0
in aggiornamento;0;0;0;0;0
grave incidente stradale nella serata di domenicia 15 gennaio in via del bosco a sorbolo, poco dopo le ore 2230;1;1;1;0;0
per cause in corso di accertamento un'auto, condotta da una donna, è finita all'interno di un fosso al lato della strada;0;0;0;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 e una squadra dei vigili del fuoco;0;0;0;0;0
quando gli operatori del 115 sono arrivati sul posto per cercare di liberare la conducente, la donna era già riuscita ad uscire dal veicolo, praticamente illesa;0;0;0;0;0
e' stata affidata agli accertamenti dei sanitari della croce rossa di sorbolo ma fortunatamente non ha riportato ferite;0;0;0;0;0
grave incidente nella serata di venerdì 13 gennaio a respiccio di fornovo;1;1;1;0;0
per cause in corso di accertamento un'auto è finita contro la cancellata di un'abitazione poco prima delle ore 2130;0;1;0;0;0
secondo le prime informazioni il conducente del veicolo, un ragazzo di 22 anni, in seguito al fortissimo impatto, sarebbe rimasto gravemente ferito;0;0;1;0;0
grave incidente stradale nella notte tra lunedì 9 e martedì 10 gennaio lungo l'autostrada a1, in direzione bologna;1;1;1;0;0
per cause in corso di accertamento, poco dopo le ore 4, un furgone e un tir si sono scontrati mentre percorrevano la corsia in direzione sud;1;1;0;0;0
secondo le prime informazioni l'impatto sarebbe stato particolarmente violento e il conducente del fugone sarebbe rimasto incastrato all'interno dell'abitacolo;0;0;1;0;0
l'uomo, dopo essere stato liberato dai vigili del fuoco di parma, intervenuti sul posto con una squadra, è stato trasportato al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0
fortunatamente il conducente non avrebbe riportato ferite gravi;0;0;0;0;0
grave incidente stradale nella serata di ieri, domenica 8 gennaio, lungo la massese, tra pilastro e torrechiara, in corrispondenza della rotonda;1;1;1;0;0
secondo le prime informazioni, poco prima delle ore 20, tre auto si sarebbero scontrate mentre stavano percorrendo la strada;0;1;0;0;0
in conseguenza dello scontro due persone sarebbero rimaste ferite, fortunatamente in maniera lieve;0;0;0;0;0
e' probabile che la presenza della nebbia, con la scarsa visibilità lungo via langhirano, sia stata una delle cause dell'incidente;0;0;0;0;0
stava percorrendo l'autostada a1 da parma in direzione reggio emilia quando ad un certo punto ha accusato un lieve malore e ha perso il controllo del mezzo pesante che stava conducendo, finendo in un canale al lato della sede stradale;1;0;0;0;0
un camionista è stato protagonista della disavventura nel pomeriggio di sabato 7 gennaio;0;1;0;0;0
secondo le prime informazioni l'uomo, che si trova in buone condizioni di salute, avrebbe perso il controllo del mezzo all'improvviso;0;0;0;0;0
dopo l'impatto il conducente sarebbe uscito autonomamente dal mezzo: sul posto sono poi arrivati i soccorritori del 118 che hanno prestato alcune cure al camionista, accertandosi delle sue condizioni di salute;0;0;0;0;0
guidava ubriaco il conducente dell'auto che all'alba di sabato 7 gennaio lungo via traversetolo in località botteghino ha investito e ucciso mohamed choukry (il ricordo dei colleghi) operaio di 59 anni, di origine marocchine e residente a parma, che stava lavorando con il camion della nettezza urbana;1;1;1;0;1
per l'uomo, dipendente della cooperativa cigno verde, non c'è stato nulla da fare: è stato centrato in pieno dall'auto che stava sopraggiungendo, da parma in direzione traversetolo, proprio nel momento in cui mohamed si trovava in strada e si stava apprestando a risalire a bordo del camion dei rifiuti;0;0;1;0;1
grave incidente stradale nella mattinata del 5 gennaio a san secondo, lungo la strada provinciale parma-cremona, all'altezza del distributore agip;1;1;1;0;0
per cause in corso di accertamento due auto si sono scontrate frontalmente;0;0;0;0;0
l'impatto è stato particolarmente violento e una persona è rimasta gravemente ferita;0;0;1;0;0
e' indagato per omicidio stradale il conducente 36enne dell'auto che nella serata di mercoledì 28 dicembre, poco prima delle ore 20, ha tamponato l'auto a bordo della quale viaggiava tiziana sani, la 63enne morta in seguito alle gravissime ferite riportate;0;1;1;0;0
lo schianto violentissimo è avvenuto lungo la massese, all'altezza di torrechiara, nei pressi del prosciuttificio fumagalli;1;0;1;0;0
grave incidente stradale nel primo pomeriggio di lunedì 2 gennaio 2023 lungo l'autostrada a1 in direzione bologna;1;1;1;0;0
erano da poco passate le 1430 quando, per cause in corso di accertamento, la conducente di un'auto ha perso il controllo del mezzo che si è ribaltato;0;1;0;0;0
il veicolo si è cappottato ed è rimasto al centro della carreggiata;0;0;0;0;0
dall'omicidio di vitalie sofroni, accoltellato a morte nel parcheggio di gaione per aver cercato di difendere un'amica alla strage della via emilia - il tragico schianto del 30 ottobre in cui hanno perso la vita 4 persone, tra cui tre bambini - all'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra natale e capodanno;0;0;0;0;0
poi la morte del sindaco di soragna matteo concari, che ha avuto un malore durante una cerimonia pubblica e la morte della 21enne irene montruccoli, deceduta all'ospedale maggiore di parma per un malore improvviso;0;0;0;0;0
un uomo di 60 anni, originario della provincia di cosenza e residente in svizzera, è stato arrestato dai carabinieri di viadana con l'accusa di essere il conducente dell'auto pirata che ha investito e ucciso nella notte di natale tra boretto e viadana andrea lodi rizzini, il cuoco 43enne diplomato all'istituto alberghiero magnaghi di salsomaggiore terme;1;1;1;0;1
sarebbe una bmw serie 1 di colore bianco l'auto pirata che ha investito e ucciso andrea lodi rizzini, il cuoco diplomato all'istituto alberghiero magnaghi di salsomaggiore terme, nella notte di natale tra boretto e viadana;0;0;1;0;1
i carabinieri, che stanno effettuando le indagini sotto il coordinamento della procura di mantova, infatti, hanno individuato il veicolo grazie alle immagini delle telecamere in zona;0;0;0;0;0
gravissimo incidente nella serata di mercoledì 28 dicembre a torrechiara, poco prima delle ore 20;1;1;1;0;0
un tamponamento tra due auto si è trasformato in tragedia;0;0;0;0;0
una donna di 63 anni, tiziana sani, è deceduta nello scontro tra le vetture, mentre un 36enne, alla guida dell'altra auto, è rimasto ferito in modo non grave;0;0;1;0;0
nella mattinata di mercoledì 28 dicembre due auto si sono scontrate nel territorio del comune di solignano;1;1;0;0;0
erano da poco passate le ore 7 quando, per cause in corso di accertamento, i due veicoli sono venuti a contatto;0;1;0;0;0
in seguito all'impatto una delle due auto si è ribaltata;0;0;0;0;0
sul posto, oltre ai soccorritori del 118, anche i vigili del fuoco e gli agenti della polizia locale, che hanno effettuato i rilievi previsti per legge;0;0;0;0;0
secondo le prime informazioni due persone sarebbero rimaste ferite: una avrebbe riportato traumi lievi mentre l'altra ferite di media gravità;0;0;0;0;0
tre morti in meno di 48 ore;0;0;1;0;0
e' questo il tragico bilancio degli incidenti stradali che si sono verificati a ridosso delle festività natalizie, tra il 22 e la notte tra il 23 e il 24 dicembre nel parmense;0;1;0;0;0
il primo incidente si è verificato alle ore 12 del 22 dicembre: un tragico scontro frontale tra due auto, che avrebbe poi coinvolto anche un terzo veicolo, ha provocato la morte dell'89enne maria teresa bardini;0;1;1;0;0
le cause dell'incidente stradale sono in corso di ricostruzione;0;0;0;0;0
incidente oggi pomeriggio sulla strada pedemontana all'altezza di bannone (frazione di traversetolo);1;1;0;0;0
il conducente di un furgone ha perso il controllo e il mezzo si è ribaltato;0;0;0;0;0
il coduncente, 60 anni, è stato estratto dai vigili del fuoco comunque in buone condizioni;0;0;0;0;0
intervenuta l'automedica e l'ambulanza di traversetolo;0;0;0;0;0
l'uomo è stato trasportato al pronto soccorso di parma;0;0;0;0;0
sul posto anche i vigili urbani della pedemontana;0;0;0;0;0
auto fuoi strada a sant'andrea di busseto, stanotte intono all'1,30;1;1;0;0;0
attimi di paura per i tre occupanti del veicolo, rimasti incastrati all'interno dell'abitacolo;0;0;0;0;0
utti hanno riportato ferite di media gravità, ricoverati all'ospedale di vaio;0;0;1;0;0